project,contract,bidder.name,status,bidder.country,opening.price.currency,opening.price.amount,opening.price.raw,evaluated.price.currency,evaluated.price.amount,evaluated.price.raw,contract.price.currency,contract.price.amount,contract.price.raw
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Energatsantsshin OJSC,Awarded,Armenia,USD,653690.0,"USD 653,690.00",AMD,267254619.0,"AMD267,254,619.60",AMD,267254619.0,"AMD267,254,619.60"
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Energouchet PJSC,Evaluated,Ukraine,USD,662500.0,"USD 662,500.00",AMD,270856500.0,"AMD270,856,500.00",,,
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,JV of AGMIN ITALY S.r.l. and NESA S.r.l.,Evaluated,Italy,EUR,539364.0,"EUR 539,364.87",AMD,285545155.0,"AMD285,545,155.83",,,
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Locator CJSC,Evaluated,Armenia,AMD,319496950.0,"AMD 319,496,950.00",AMD,319496950.0,"AMD319,496,950.00",,,
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Gruppa companiy SIBCON ZAO,Evaluated,Russian Federation,EUR,1188103.0,"EUR 1,188,103.00",AMD,628993609.0,"AMD628,993,609.23",,,
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Bioethic S.r.l.,Evaluated,Italy,USD,1600933.0,"USD 1,600,933.00",AMD,654525447.0,"AMD654,525,447.72",,,
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Sunir Co. JSC,Rejected,Iran Islamic Republic of,USD,649997.0,"USD 649,997.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00016971,HLL Lifecare Limited,Awarded,,INR,174771636.0,"INR 174,771,636.00",NPR,279896775.0,"NPR279,896,775.05",NPR,279896775.0,"NPR279,896,775.05"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00016971,Karex Industries SDN. BHD,Evaluated,,USD,3906084.0,"USD 3,906,084.00",NPR,311119590.0,"NPR311,119,590.60",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00016971,Krishna International,Rejected,,NPR,4646304.0,"NPR 4,646,304.00USD 3,758,040.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00016971,Hankook Latex Gongup Co. ltd.,Rejected,,USD,3655548.0,"USD 3,655,548.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018378,Alpha Medicine Distributors,Awarded,Nepal,NPR,20914500.0,"NPR 20,914,500.00",NPR,20944500.0,"NPR20,944,500.00",NPR,20944500.0,"NPR20,944,500.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018378,Aum Health Care,Rejected,India,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018378,Path Science International,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018379,Krishna lntemational,Awarded,Nepal,NPR,74811912.0,"NPR 74,811,912.00",NPR,74811912.0,"NPR74,811,912.00",NPR,74811912.0,"NPR74,811,912.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018380,BTC Private Limited,Awarded,Nepal,NPR,8985060.0,"NPR 8,985,060.00",NPR,8985060.0,"NPR8,985,060.00",NPR,8985060.0,"NPR8,985,060.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Tagros Chemicals India Ltd,Awarded,India,INR,57585600.0,"INR 57,585,600.00",NPR,92223338.0,"NPR92,223,338.40",NPR,92223338.0,"NPR92,223,338.40"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Levant Overseas Development Ltd+ Manira Supplier (JV),Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Medi Impex Pvt. Ltd Kathmandu,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Atlantic Enterprises & Suppliers,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,B&BInc.Pvt.Ltd,Rejected,Nepal,,,,,,,,,
