project,contract,contract.country,method.procurement,method.selection,price.amount,price.currency,n.bids
,http://search.worldbank.org/wcontractawards/procdetails/OP00027409,Armenia,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00027410,Armenia,,,,,0
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00027503,Armenia,SSS- Single Source Selection ,,16199040.0,AMD,0
P127759,http://search.worldbank.org/wcontractawards/procdetails/OP00029774,Armenia,,,267254619.0,AMD,7
,http://search.worldbank.org/wcontractawards/procdetails/OP00032813,Armenia,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032812,Armenia,,,,,0
P128378,http://search.worldbank.org/wcontractawards/procdetails/OP00028031,"Macedonia, former Yugoslav Republic of",INDV- Individual ,,109690.0,EUR,0
P128378,http://search.worldbank.org/wcontractawards/procdetails/OP00029965,"Macedonia, former Yugoslav Republic of",CQS- SelectionBased On Consultant's Qualification ,,32507.0,EUR,0
P128378,http://search.worldbank.org/wcontractawards/procdetails/OP00030699,"Macedonia, former Yugoslav Republic of",CQS- Selection Based On Consultant's Qualification ,,146265.0,EUR,0
P128378,http://search.worldbank.org/wcontractawards/procdetails/OP00032901,"Macedonia, former Yugoslav Republic of",CQS- Selection Based OnConsultant's Qualification ,,66913.0,EUR,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00031726,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00031728,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00031729,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00031727,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00031950,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032208,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032698,Burkina Faso,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00028414,Nepal,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030924,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030930,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030929,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030927,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030925,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030928,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00030926,Timor-Leste,,,,,0
P104794,http://search.worldbank.org/wcontractawards/procdetails/OP00030923,Timor-Leste,SSS- Single Source Selection ,,82320.0,USD,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032555,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032558,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032556,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032559,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032557,Timor-Leste,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00032560,Timor-Leste,,,,,0
P104794,http://search.worldbank.org/wcontractawards/procdetails/OP00032554,Timor-Leste,SSS- Single Source Selection ,,99406.0,USD,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00027730,Africa,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00027731,Africa,,,,,0
,http://search.worldbank.org/wcontractawards/procdetails/OP00029446,Africa,,,,,0
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00016971,Nepal,,,279896775.0,NPR,4
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018378,Nepal,,,20944500.0,NPR,3
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018379,Nepal,,,74811912.0,NPR,1
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018380,Nepal,,,8985060.0,NPR,1
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Nepal,,,92223338.0,NPR,6
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018381,Nepal,,,27343932.0,NPR,1
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Nepal,,,106729188.0,NPR,15
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021547,Nepal,,,13424149.0,NPR,2
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021546,Nepal,,,7877772.0,NPR,4
