contract,bidder,status,amount,currency
http://search.worldbank.org/wcontractawards/procdetails/OP00022874,Sinohydro Corporation Ltd.,Awarded,1998611755.0,KES
http://search.worldbank.org/wcontractawards/procdetails/OP00025345,FIS-LG CNS Joint Venture,Awarded,9388888.0,USD
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,NATIONAL CONTRACTING COMPANY LTD,Awarded,106455.0,CHF
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,China CAMC Engineering & Shanghai Electric Power Construction,Evaluated,344574544.0,KES
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,Siemens T&D France,Evaluated,15022739.0,EUR
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,Alstom Grid SAS,Evaluated,1944170.0,USD
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,KEC International Limited & Power Grid Corporation of IndiaJV,Evaluated,1966078063.0,KES
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,Hyosung Corporation,Evaluated,4806273.0,EUR
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,ABB AG- Germany,Evaluated,35193194.0,EUR
http://search.worldbank.org/wcontractawards/procdetails/OP00027035,Isolux Corsan,Rejected,2468736.0,EUR
http://search.worldbank.org/wcontractawards/procdetails/OP00023455,Van Thanh Construction Co. Ltd.,Awarded,50690000000.0,VND
http://search.worldbank.org/wcontractawards/procdetails/OP00025159,CONSORCIO TOCANTINS,Awarded,41337760.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025159,CCM - CONSTRUTORA CENTRO MINAS LTDA.,Evaluated,38317385.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025159,ETICA CONSTRUCTORA LTDA,Evaluated,46267222.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025159,CONSORCIO GOIAS/GAE,Evaluated,60025916.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025159,CONSTRUTORA CENTRAL DO BRASIL LTDA,Rejected,72282944.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025158,CCM - CONSTRUCTORA CENTRO MINAS LTDA.,Awarded,51102212.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025158,ETICA CONSTRUCTORA LTDA,Evaluated,51495543.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025158,CONSORCIO TOCANTINS,Evaluated,55090205.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025158,CONSTRUCTORA CENTRAL DO BRASIL LTDA,Evaluated,74091220.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00025158,CONSORCIO GOIAS/GAE,Evaluated,76285529.0,BRL
http://search.worldbank.org/wcontractawards/procdetails/OP00027246,CTECH CTI JOINT STOCK COMPANY,Awarded,20234531000.0,VND
http://search.worldbank.org/wcontractawards/procdetails/OP00027263,Co-operation of Can Tho City Works and Investment Joint Stock Company and CADICO Joint Stock Company,Awarded,14426814171.0,VND
http://search.worldbank.org/wcontractawards/procdetails/OP00027264,VNI Industry Joint Stock Company,Awarded,35639000000.0,VND
http://search.worldbank.org/wcontractawards/procdetails/OP00027341,Co-operation of Hong Luc Construction Co. Ltdand Dai Hoan My One member Co. Ltd,Awarded,9905600000.0,VND
http://search.worldbank.org/wcontractawards/procdetails/OP00016432,JV of fims,Awarded,276492452.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00016432,Sinohydro Corporation Limited,Evaluated,283786119.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00016432,Skanska Spolka Akcyjna,Evaluated,292449162.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017011,JV,Awarded,54448495.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017011,HYDROBUDOWA GDANSK S.A.,Evaluated,62791943.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017011,JV,Evaluated,98309558.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017011,Sinohydro Corporation Limited,Evaluated,118541219.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017077,SKANSKA S.A.,Awarded,65988211.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017077,BUDIMEX S.A.,Evaluated,67546750.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017077,Mota-Engil Central Europe S.A.,Evaluated,81927529.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017077,WARBUD S.A.,Evaluated,85280370.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017077,JV of firms,Evaluated,99627233.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017453,JV firms,Awarded,35873989.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017453,JV of firms,Evaluated,37236716.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017453,JV of firms,Evaluated,38945033.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017453,JV of firms,Evaluated,43566862.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017453,Sinohydro Corporation Limited,Evaluated,52084133.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,SINOHYDRO Corporation Limited,Awarded,306066558.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,JV of firms,Evaluated,314713509.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,JV of firms,Evaluated,334315022.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,JV of firms,Evaluated,430113297.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,JV of firms,Evaluated,443244878.0,PLN
http://search.worldbank.org/wcontractawards/procdetails/OP00017804,JV of firms,Evaluated,554279138.0,PLN
